amenities,bathrooms,bedrooms,has_photo,pets_allowed,price,square_feet,cityname,state,latitude,longitude,square_meters,price_per_m2,cluster,pca1,pca2,anomaly
Unknown,1.0,0.0,Thumbnail,Unknown,1390,107,Arlington,VA,38.891,-77.0816,9.940621,139.83029832844446,1.0,-4.039489882784005,7.264853869504319,-1.0
Unknown,1.0,0.0,Thumbnail,Unknown,925,116,Seattle,WA,47.616,-122.3275,10.776748,85.83294329606669,1.0,-3.4370083789307793,5.163816897353853,-1.0
"Dishwasher,Elevator,Patio/Deck,Pool,Storage",1.0,0.0,Thumbnail,Unknown,2475,130,Manhattan,NY,40.7629,-73.9885,12.07739,204.9283827052037,1.0,-4.542252491881337,11.988960745856424,-1.0
Refrigerator,1.0,0.0,Thumbnail,Unknown,1495,138,San Francisco,CA,37.7599,-122.4379,12.820613999999999,116.60907972114285,1.0,-3.6209715721994558,7.189016224793173,-1.0
Refrigerator,1.0,0.0,Thumbnail,Unknown,1695,190,San Francisco,CA,37.7599,-122.4379,17.65157,96.02545269344313,1.0,-3.1808900571931145,6.028251101719767,-1.0
"AC,Basketball,Cable or Satellite,Gym,Internet Access,Patio/Deck,Pool,Refrigerator",1.0,1.0,Thumbnail,"Cats,Dogs",1560,200,New Bern,NC,35.0847,-77.0609,18.5806,83.95853739922285,1.0,-2.4884583104173155,3.6932052350467734,1.0
"AC,Basketball,Cable or Satellite,Gym,Internet Access,Patio/Deck,Pool,Refrigerator",1.0,1.0,Thumbnail,"Cats,Dogs",1560,200,New Bern,NC,35.096,-77.0272,18.5806,83.95853739922285,1.0,-2.488477172961301,3.692515637818865,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,1000,200,Spring,TX,30.0871,-95.4685,18.5806,53.81957525591208,1.0,-2.2598444787674565,1.8567304943798137,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,950,200,Vallejo,CA,38.1172,-122.2313,18.5806,51.128596493116476,1.0,-2.2546774855508405,2.6635660530333043,1.0
Pool,1.0,1.0,Thumbnail,Unknown,625,200,Marietta,GA,33.9649,-84.5107,18.5806,33.63723453494505,0.0,-2.1187764012654564,0.13472388532154175,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,600,200,Charlotte,NC,35.2016,-80.8124,18.5806,32.29174515354725,0.0,-2.1110035921550505,-0.041263918177036736,1.0
"Cable or Satellite,Clubhouse,Elevator,Internet Access,Parking,Pool,Refrigerator",1.0,1.0,Thumbnail,Unknown,544,200,Tallahassee,FL,30.4601,-84.2714,18.5806,29.27784893921617,0.0,-2.0808218004884047,-0.2917878059843432,1.0
Pool,1.0,1.0,Thumbnail,Unknown,450,200,Phoenix,AZ,33.5178,-112.0848,18.5806,24.218808865160437,0.0,-2.049741981761281,0.23527568580598968,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,750,215,Riverview,FL,27.8492,-82.3155,19.974145,37.54854087621773,0.0,-2.0991146536889067,0.2280673963546241,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,2000,219,Lafayette,AL,32.8956,-85.4351,20.345757,98.30059407472527,1.0,-2.4994917977189464,5.060054329396571,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,1400,219,San Francisco,CA,37.7599,-122.4379,20.345757,68.81041585230768,1.0,-2.3137941158816986,4.053656356353152,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,1095,219,Glen Burnie,MD,39.1634,-76.6165,20.345757,53.819575255912085,1.0,-2.2161383858029406,1.6048345436218794,1.0
